sentence,cat,label
would super sexy ft tall,1.0,1
barely stretched underside boobs,1.0,1
waste,3.0,3
tiny fit terrible print,3.0,1
got brother normally wears large,1.0,1
got xxl extremely small,1.0,1
print looks terrible also,3.0,3
blurry distorted,3.0,3
contacted seller see could return exchange suppose hear back hours days ago,0.0,4
bottom line waste money,3.0,3
got wear elephant reason bought begin broke,3.0,3
sleeves long sleeves like picture,3.0,3
shirt loose threads poor quality,3.0,3
would never order,4.0,4
shirt worth dollars thatnot,3.0,3
looks even better picture,3.0,3
favorite purse matches everything wear,3.0,3
holds everything need,3.0,3
elegant looking multi colored purse,3.0,3
absolutely love,4.0,3
however giving star changing star,4.0,4
leather peeling purse falling apart,3.0,3
disappointed,4.0,4
well made,3.0,3
gloves lined cashmere,3.0,3
lining kind cheap synthetic plush stuff cashmere,3.0,3
owned cashmere lined gloves years know cashmere looks like warm cold temps,3.0,3
gloves even keep hands warm temps,4.0,4
worn gloves zero weather hands stayed warm,4.0,4
gloves look nice want cashmere order,4.0,4
bra take forever arrive entirely small,1.0,1
even child could wear item,1.0,1
would even consider bra honestly,4.0,4
would say resembles little pads attached piece stringed cloth,1.0,1
still inclined order would recommend going sizes,1.0,1
work way shape form,3.0,3
would definitely recommend anyone,4.0,4
wanted use vacation trip time return eve order new one,4.0,4
save trouble,4.0,4
good broke one week,3.0,3
good buy,4.0,4
straps sewn backwards wore flipped back dress inside,3.0,3
also bottom dress ripped,3.0,3
went straight garbage,4.0,4
like picture allcheap made,4.0,4
pay get,4.0,4
tried return smaller size told take closer look sizing chart,1.0,1
accounts large,1.0,1
really sure fit much bigger according sizing chart says compared everything else wardrobe large,1.0,1
disappointed able exchange small sizeespecially vacation,1.0,1
ordered size got size,1.0,1
know anyone wears size,1.0,1
stuck,4.0,4
item received pictured,3.0,3
defiantly seen doctor,4.0,4
ordered xl wanted fit little loose even get shoulders,1.0,1
big person wear fits friend size,1.0,1
good quality ordered daughter thinking woudent tarnished well even weeks receiving already changed colors worst gave others friends feel ashamed,3.0,3
poorly made cut small picture remotly look like product,3.0,3
disappointed give negative number stars,4.0,4
received package today watch found inside box,4.0,4
box shown rolex picture smart watch,4.0,4
strongly recommend,4.0,4
would business company,4.0,4
worst size labeled shirt ive ever bought line,1.0,1
ordered xl put next wifes small shirt barely difference,1.0,1
wear xl buy xxxl,1.0,1
ordered size medium even fit year old grand daughter small,1.0,1
instead size like size,1.0,1
received purse outside pocket missing piece able zip closed purse also horrible smell new purse smell,3.0,3
size small,1.0,1
hat came white ribbed looking material,3.0,3
total scam even worth trying ship back china return,4.0,4
looks nothing like picture,4.0,4
poor quality skew world,3.0,3
needs headache,4.0,4
loops tuck band snapped within week,4.0,4
reading reviews expecting much firm support midsection,4.0,4
material soft stretchy,3.0,3
