,sentence,senti
0,Would be super sexy if you are only about 4 ft tall.,1.0
1,"I'm 5'5"" and this barely stretched to the underside of my boobs.",2.0
2,Don't waste your $,2.0
3,Tiny fit and terrible print!,2.0
4,Got it for my brother who normally wears a large.,0.0
5,Got him the XXL which is extremely small on him.,2.0
6,The print looks terrible also.,2.0
7,Very blurry and distorted.,2.0
8,"Bottom line, don't waste your money.",2.0
9,got to wear it once then the elephant (which is the reason I bought it to begin with) broke!,2.0
10,The sleeves were 3/4 not long sleeves like the picture.,2.0
11,"The shirt had loose threads all over, poor quality.",2.0
12,The shirt is worth 5 dollars if that..not 14.99,2.0
13,Looks even better than the picture.,1.0
14,This is my favorite purse because it matches everything I wear.,1.0
15,It is a very elegant looking multi colored purse.,1.0
16,The leather is peeling off and the purse is falling apart.,2.0
17,It wasn't well made at all.,2.0
18,These gloves are NOT lined in cashmere.,0.0
19,"The lining is some kind of cheap synthetic plush stuff, but it is NOT cashmere.",2.0
20,These gloves didn't even keep my hands warm at temps in the 20's.,2.0
21,FALSE ADVERTISING.,2.0
22,"Not only did this ""bra"" take forever to arrive, but it was entirely too small.",2.0
23,I would say it most resembles 2 little pads attached to a piece of stringed cloth.,0.0
24,"If you were still inclined to order this, I would recommend going a few sizes up.",2.0
25,"It just does not work in any way, shape, or form.",2.0
26,Not good at all broke in one week,2.0
27,"The straps were sewn backwards so when I wore it, it flipped the the back of the dress inside out.",2.0
28,"Also, the bottom of the dress was ripped.",2.0
29,I tried to return for a smaller size but was told to take a closer look at the sizing chart.,2.0
30,"By all accounts, I am a large.",0.0
31,Not really sure why it fit so much bigger on me according to the sizing chart says it should or compared to everything else in my wardrobe that is a large.,2.0
32,Very disappointed I was not able to exchange for a small size.....especially before my vacation.,2.0
33,I ordered a size 9 and got a size 6.,2.0
34,I don't know anyone who wears that size.,2.0
35,"I ordered an XL because I wanted it to fit a little loose, can't even get it over my shoulders.",2.0
36,I'm not a big person I wear between a 12 and 14 this fits my friend who is a size 4!!,2.0
37,"No good quality at all, i had ordered this for my daughter thinking it woudent tarnished, well not even 2 weeks after receiving it it already changed colors, worst is she gave out the 5 others to here friends, i feel so ashamed .... :/",2.0
38,Poorly made  cut small picture doesn't remotly look like the product.,2.0
39,Very poor quality.,2.0
40,VERY SMALL!,2.0
41,Poor return policy.,2.0
42,Worst size labeled shirt ive ever bought off line.,2.0
43,Ordered a XL and i put it next to my wifes small shirt and there was barely a difference.,2.0
44,If you wear a XL buy a XXXL.,0.0
45,I ordered a size medium and it won't even fit my 13 year old grand daughter it is so small.,2.0
46,Instead of being a size 6/8 it is more like a size 0/1,2.0
47,Received purse and outside pocket missing piece to be able to zip closed purse also has horrible smell not a new purse smell,2.0
48,Too small,2.0
49,size is too small,2.0
50,the hat came off white and its ribbed looking material.,2.0
51,They are poor quality and skew the world.,2.0
52,The loops you tuck the band in to snapped within 1 week.,2.0
53,After reading the reviews I was expecting much more firm support in the midsection.,0.0
54,The material is soft and stretchy.,1.0
55,It's comfy and soft.,1.0
56,The chain broke off from me just taking the tape off of the necklace itself.... seriously ?,2.0
57,Very disappointed in this dress as it was either sewn incorrectly in the back or just not made right.,2.0
58,I was not happy as this is the only dress that I have ever purchased from Amazon that I did not like.,2.0
59,Too large,0.0
60,"The shirt did not meet my expectations because it was dirty, wrinkled and had a red pen mark across the front.",2.0
