sentiment,label,adjective,Sentiment,classifi
1,0,late,2,1
1,0,expected,2,1
1,0,fast,1,1
1,0,slow,2,1
1,0,FAST,1,1
1,0,earlier,2,1
2,0,late,2,1
2,0,longer,2,1
2,0,disappointed,2,1
2,0,slow,2,1
2,0,sad,2,1
1,1,fit,1,1
1,1,great,1,1
1,1,perfect,1,1
1,1,not loose,2,1
1,1,worth,1,1
2,1,small,2,1
2,1,short,2,1
2,1,tight,2,1
2,1,Smaller,2,1
2,1,Terrible,2,1
1,2,colorful,1,1
1,2,adorable,1,1
1,2,color,1,1
1,2,amazing,1,1
1,2,Bright,1,1
2,2,not Good,1,1
2,2,not nice,1,1
2,2,bad,2,1
2,2,worse,2,1
2,2,difficult,2,1
1,3,better,1,1
1,3,favorite,1,1
1,3,great,1,1
1,3,nice,1,1
1,3,strong,1,1
2,3,terrible,2,1
2,3,horrible,2,1
2,3,Terrible,2,1
2,3,worst,2,1
2,3,Horrible,2,1
2,3,sad,2,1
