,column_num,sentence,index,overall,cat
0,66000,Just wish she'd won.,66000,4,-1
1,66002,I like them but I ordered the wrong size and I found the proper size somewhere else.,66002,4,1
2,66002,So I had to return them,66002,4,-1
3,66003,"Beautiful coat, just to small, the sizing details says to order one size up I ordered 2 sizes up to be safe, and it was still small.",66003,4,1
4,66003,even with the size chart is off.,66003,4,1
5,66003,I wish they had it one size larger.,66003,4,1
6,66004,"I'm 5'2"", 108 lbs,  athletic build and this small sweater was a little loose on me, need an xs but they do not sell xs.",66004,4,1
7,66004,"Would be more flattering if it had a tighter fit, but still looks beautiful on the back so I am keeping it.",66004,4,1
8,66005,"Color is beautiful,small through the bust.",66005,4,2
9,66006,"Didn't quite get it in time for Christmas, but the pants are really cute and really soft.",66006,4,3
10,66006,Fit my daughter perfectly.,66006,4,1
11,66006,Size is as expected and the quality was exceptional.,66006,4,-1
12,66006,Would definitely order more like this from this seller.,66006,4,-1
13,66007,Love it but should have ordered a small rather than medium.,66007,4,1
14,66007,If you are slim and tall it will still look great with heels :) I am 5'8 and 145 lb,66007,4,1
15,66008,They are your standard Vans Slip on shoes.,66008,4,-1
16,66008,"They run in the same sizes as my Converse, so they fit well.",66008,4,1
17,66008,"I tried a pair on in the stores thinking I would wear a 7.5 as that is what I would wear in my tennis shoes, but that was a bit too big and a 6.5 was just too small.",66008,4,1
18,66008,The 7 that I got fit perfectly.,66008,4,1
19,66008,My left shoe has something like a flaw where the ball of my foot touches when I step down.,66008,4,3
20,66008,"It's not like that in the right, so I am assuming it's just a small flaw, but it's not a big deal.",66008,4,3
21,66008,I am sure over time I won't eel this anymore.,66008,4,-1
22,66008,"Like Converse, I cannot wear shoes like this for too long.",66008,4,1
23,66008,"If I were going to walk for a long time I would not wear these shoes, but I have trouble wearing shoes with little support.",66008,4,-1
24,66008,I do like them though!,66008,4,-1
25,66008,"(Don't mind the cat hair in my photos, I can't bring anything home without cat hair clinging to it instantly as I bring it in!)",66008,4,-1
26,66009,I ordered this for myself.,66009,4,-1
27,66009,Wanted something sparkly to wear.,66009,4,-1
28,66009,It is a very pretty ring.,66009,4,2
29,66009,"I ordered a size 5, which is the smallest that it came in.",66009,4,1
30,66009,I did have to take it to be re sized as it was still too big.,66009,4,1
31,66009,It actually measured in at a 5.5.,66009,4,1
32,66009,"I will say even after having it resized it is still a bit  big
on my finger.",66009,4,1
33,66009,The band is slim and the stone large which causes it to flop from side to side.,66009,4,1
34,66009,I will have to have a ring sizer placed on the bottom of the band if I want it to sit upright without moving.,66009,4,3
35,66009,"So, in the end although the price for the ring is good with all the added money that I have spent
to get it to look the way I want it is a bit more than what I had intended to pay for a costume piece.",66009,4,3
36,66009,"That being said I am very petite so maybe the ring
does better on someone with a more average sized hand/finger, I still like the ring and really have no regrets with the purchase.",66009,4,3
37,66010,"It's good but, the edges keep unsticking to my skin.",66010,4,-1
38,66010,I prefer the gel kind better.,66010,4,3
39,66011,"Fit great, it's a good comfortable cotton tshirt.",66011,4,3
40,66012,Nice socks to wear.,66012,4,1
41,66012,Great for important business meeting and to bring some spicy flavor to the office.,66012,4,3
42,66012,However 2/6 of them are super difficult to fit over the heel.,66012,4,1
43,66014,"I am giving it a 4 because it did run a little small, but I was still able to squeeze into it ;).",66014,4,1
44,66014,I got sooo many compliments on this dress!,66014,4,1
45,66014,"It is pretty short, so if you are taller you may want to take that into consideration, or you may be wearing it as a shirt.",66014,4,3
