,column_num,sentence,index,overall,cat
0,88000,Has held up well after one international trip.,88000,5,-1
1,88002,"Fits well, looks great!",88002,5,1
2,88004,"Love this top, it's fabulous, just buy it!",88004,5,-1
3,88005,I absolutely loved the shirt I got from here.,88005,5,-1
4,88005,It fit perfectly and it may have took longer than I thought but the shirt was worth the wait.,88005,5,1
5,88005,"I can't get over the design, it's so nice and I love it.",88005,5,3
6,88005,I recommend this to all my friends.,88005,5,-1
7,88007,Fit perfect and true to size.,88007,5,1
8,88007,It also arrived before the date I was given!!!,88007,5,0
9,88007,Would definitely order thru the company again!,88007,5,-1
10,88008,Great T for the price!,88008,5,3
11,88009,I love this purse.,88009,5,-1
12,88009,I never spend a lot of money on myself because I'd rather spend it on my kids but these purse was worth every penny.,88009,5,3
13,88009,I've had it for months and its holding up and its just an all around good purse.,88009,5,3
14,88011,Does what it says it does,88011,5,3
15,88012,so far i've had this for 3 months and it's still going strong.,88012,5,3
16,88012,perfect size for clipping onto my bag or shirt or wherever so i can get a quick time update,88012,5,1
17,88013,I love looking at starry skies an have seen pics of nebula.,88013,5,3
18,88013,"If u like astronomy u will really think it's a cool pendant, a definite conversation piece",88013,5,3
19,88014,My grandson loves it!,88014,5,-1
20,88016,This is the second pair of sunglasses that I have bought for my little guy.,88016,5,3
21,88016,They fit him well and he leaves them on.,88016,5,1
22,88016,I don't worry about him breaking them either as they are flexible.,88016,5,3
23,88017,I love this style from Calvin Klein..I wish they would have more.,88017,5,3
24,88017,Wear this style when I bowl and then I can wear it for a night out with my husband.,88017,5,3
25,88017,Great look for work too.,88017,5,3
26,88018,"Great, maybe a little big, but is great to wear it with a sweater under it.",88018,5,3
27,88019,Nice piece if costume jewelry.,88019,5,-1
28,88020,I just love this handbag and the wallet too!,88020,5,-1
29,88024,Lots of options on how tight you want to go since there are no defined holes.,88024,5,1
30,88026,I received many compliments on this necklace.,88026,5,1
31,88026,I absolutely love it.,88026,5,-1
32,88026,Super fast delivery and great price!,88026,5,0
33,88027,"My son likes these, and this is the 2nd pair he's worn.",88027,5,-1
34,88028,Very nice price for quality tee shirts...,88028,5,3
35,88028,Washed and dried them before wearing no shrinking no wrinkles.....,88028,5,3
36,88028,Very happy with them,88028,5,-1
37,88030,I am in love with my purchase.,88030,5,-1
38,88030,Necklace looks exactly as the image.,88030,5,3
39,88030,Does not look fake and it even a little heavy which I love.,88030,5,3
40,88030,Necklace laying jst perfect on neck.,88030,5,1
41,88030,Can use it with any garment from a casual wear to night out in a black dress.,88030,5,3
42,88031,"I needed a dress last minute and gave this a shot - I thought for $7 it might be cheap, but it looks nice.",88031,5,3
43,88031,My daughter is a 4T and this fits as expected.,88031,5,1
44,88031,Tulle layer over polyester.,88031,5,3
45,88033,Exactly what I was expecting.,88033,5,3
46,88033,Got all 100 14g plastic ball tongue rings.,88033,5,3
47,88033,Lots of different designs and colors.,88033,5,2
48,88033,Really good offer for 100 tongue rings.,88033,5,3
49,88035,"Yes Fit as expected
my son is a 2x size because I read the reviews I order him a 4x and it was perfect",88035,5,1
50,88037,My 3 year old son adores this Disney Frozen Snowflake Olaf knit cap and mitts set.,88037,5,3
51,88037,"Quality product, worth the cost.",88037,5,3
52,88038,Not sure if they updated sizing but I ordered 4-6yrs old and they fit my 4 & 6yr old perfectly could have possibly gone up a size for growing.,88038,5,-1
53,88039,this is my new favorite hat!!!,88039,5,-1
54,88039,I always had a hat to put on when ya know the hair situation is not what your hoping for and i lost it.,88039,5,3
55,88039,this hat has made it all better.,88039,5,3
56,88039,super cheap and the adjustable sliding strap makes it a perfect fit.,88039,5,1
57,88040,"These look nice, don't bother my ears at all, and are a good quality for the price.",88040,5,3
58,88040,Very happy with my purchase,88040,5,-1
59,88041,"These are AMAZING pants: Soft, non-wrinkly, BEAUTIFUL COLOR, good craftsmanship on sewing, and I am so comfy in it.",88041,5,3
60,88041,I just ordered a 2nd pair in black.,88041,5,-1
61,88041,Totally recommend this nice company.,88041,5,-1
62,88042,this scarf was so warm and so cute with a plain tee shirt or an ivory Ella shirt.,88042,5,3
63,88042,it makes me feel so warm and I love it to death!,88042,5,3
64,88043,I'm in love these Leggings!,88043,5,-1
65,88044,I get compliments on these where ever I go!,88044,5,3
66,88044,They are so bad ass in real life and comfy.,88044,5,3
67,88045,"good quality, looks expensive.",88045,5,3
68,88046,Lovely bag for party.,88046,5,3
69,88047,My girlfriend loves it!,88047,5,-1
