column_num,sentence,index,overall
88000,Has held up well after one international trip.,88000,5
88000,Lightweight and smart.,88000,5
88001,Love it,88001,5
88002,"Fits well, looks great!",88002,5
88003,Simply beautiful,88003,5
88004,"Love this top, it's fabulous, just buy it!",88004,5
88005,I absolutely loved the shirt I got from here.,88005,5
88005,It fit perfectly and it may have took longer than I thought but the shirt was worth the wait.,88005,5
88005,"I can't get over the design, it's so nice and I love it.",88005,5
88005,I recommend this to all my friends.,88005,5
88006,love it,88006,5
88007,Absolutely LOVE!,88007,5
88007,Fit perfect and true to size.,88007,5
88007,It also arrived before the date I was given!!!,88007,5
88007,Would definitely order thru the company again!,88007,5
88008,Great T for the price!,88008,5
88008,Fits petfect!,88008,5
88009,I love this purse.,88009,5
88009,I never spend a lot of money on myself because I'd rather spend it on my kids but these purse was worth every penny.,88009,5
88009,I've had it for months and its holding up and its just an all around good purse.,88009,5
88010,awesome hat!,88010,5
88011,Does what it says it does,88011,5
88012,so far i've had this for 3 months and it's still going strong.,88012,5
88012,perfect size for clipping onto my bag or shirt or wherever so i can get a quick time update,88012,5
88013,Really cool.,88013,5
88013,I love looking at starry skies an have seen pics of nebula.,88013,5
88013,"If u like astronomy u will really think it's a cool pendant, a definite conversation piece",88013,5
88014,My grandson loves it!,88014,5
88015,Very cute,88015,5
88016,This is the second pair of sunglasses that I have bought for my little guy.,88016,5
88016,They fit him well and he leaves them on.,88016,5
88016,I don't worry about him breaking them either as they are flexible.,88016,5
88017,I love this style from Calvin Klein..I wish they would have more.,88017,5
88017,Wear this style when I bowl and then I can wear it for a night out with my husband.,88017,5
88017,Great look for work too.,88017,5
88018,"Great, maybe a little big, but is great to wear it with a sweater under it.",88018,5
88019,Love it!!,88019,5
88019,Nice piece if costume jewelry.,88019,5
88020,I just love this handbag and the wallet too!,88020,5
88021,excellent,88021,5
88022,very good!,88022,5
88023,like it,88023,5
88024,Nice belt.,88024,5
88024,Lots of options on how tight you want to go since there are no defined holes.,88024,5
88025,Beautiful red color.,88025,5
88025,Love it!,88025,5
88026,I received many compliments on this necklace.,88026,5
88026,I absolutely love it.,88026,5
88026,Super fast delivery and great price!,88026,5
88027,"My son likes these, and this is the 2nd pair he's worn.",88027,5
88028,Very nice price for quality tee shirts...,88028,5
88028,Washed and dried them before wearing no shrinking no wrinkles.....,88028,5
88028,Very happy with them,88028,5
88029,Cute and unique,88029,5
88030,I am in love with my purchase.,88030,5
88030,Necklace looks exactly as the image.,88030,5
88030,Does not look fake and it even a little heavy which I love.,88030,5
88030,Necklace laying jst perfect on neck.,88030,5
88030,Can use it with any garment from a casual wear to night out in a black dress.,88030,5
88031,Very cute!,88031,5
88031,"I needed a dress last minute and gave this a shot - I thought for $7 it might be cheap, but it looks nice.",88031,5
88031,My daughter is a 4T and this fits as expected.,88031,5
88031,Tulle layer over polyester.,88031,5
88032,Love it!!!!!,88032,5
88032,!,88032,5
88033,Exactly what I was expecting.,88033,5
88033,Got all 100 14g plastic ball tongue rings.,88033,5
88033,Lots of different designs and colors.,88033,5
88033,All random selection.,88033,5
88033,Really good offer for 100 tongue rings.,88033,5
88034,ok,88034,5
88035,"Yes Fit as expected
my son is a 2x size because I read the reviews I order him a 4x and it was perfect",88035,5
88036,I love it,88036,5
88037,My 3 year old son adores this Disney Frozen Snowflake Olaf knit cap and mitts set.,88037,5
88037,"Quality product, worth the cost.",88037,5
88038,Not sure if they updated sizing but I ordered 4-6yrs old and they fit my 4 & 6yr old perfectly could have possibly gone up a size for growing.,88038,5
88039,this is my new favorite hat!!!,88039,5
88039,I always had a hat to put on when ya know the hair situation is not what your hoping for and i lost it.,88039,5
88039,this hat has made it all better.,88039,5
88039,super cheap and the adjustable sliding strap makes it a perfect fit.,88039,5
88040,"These look nice, don't bother my ears at all, and are a good quality for the price.",88040,5
88040,Very happy with my purchase,88040,5
