column_num,sentence,index,overall
44000,Normalement o/s me fait mais l le matriel ne s'tire pas beaucoup.,44000,3
44000,J'ai des cuisses normale (je porte mdium) mais fait pour plus petite je crois.,44000,3
44000,De bonne qualit et couleur rose vif.,44000,3
44001,"Love this tank, but it is way way too small.",44001,3
44001,I usually wear a medium.,44001,3
44001,I'm thinking of returning and buying a large.,44001,3
44002,The long strap broke the day I took the purse out of the package.,44002,3
44002,Unfortunate because bag is great,44002,3
44003,"I got a medium and I usually am a small or medium and the medium was still to tight, but it was really cute.",44003,3
44004,"Pros: The shipping was faster than expected, and it is comfortable.",44004,3
44004,Cons: I'm a 34 C and when you put it on the areas covering stretches and it looks like you have two little diamond coverings under a lace bralette.,44004,3
44004,But with a white bandeau top I think it's an easy fix.,44004,3
44005,I ordered the colorful flower.,44005,3
44005,"The pic is of orange, yellow, green, teal and white background.",44005,3
44005,"The one I got is red, blue and pinkish background.",44005,3
44006,"The fit is nice, but the fabric is too thin.",44006,3
44006,It will probably not last very long.,44006,3
44006,But for the price....,44006,3
44007,Was too small for my daughter,44007,3
44008,I'm 5'4 145 pounds and I normally order a medium.,44008,3
44008,I had the hardest time pulling the bottoms up but other than really cute,44008,3
44009,Strings attached to each pair of mitts pulled off during first use.,44009,3
44010,"Well I was pretty satisfied with the purchase; the material looks nice, and feels nice on the skin, so no trouble there... the only issue I have with it... is there is not one tiny strip of elastic on the outfit.",44010,3
44010,It has NO stretch to it.,44010,3
44010,"So be warned if you're a 'meatier' person, or even a guy like me.",44010,3
44010,I hope you're pretty small!,44010,3
44011,Quality is not too bad.,44011,3
44011,Had to cut loose threads.,44011,3
44011,It is not a one size fit all.,44011,3
44011,If you wear a small then you are good.,44011,3
44011,"Any larger size needed, recommend buying a sized type lace thong.",44011,3
44012,smaller than appears on site.,44012,3
44012,But worked for the 1 day the boys had to wear them,44012,3
44013,"This bracelet is actually really pretty, but I have to give it three stars because it broke only after a few hours of wear...I couldn't fix it, so I don't know what to do with the bracelet...",44013,3
44014,They look SUPER cute on but they're very flimsy and delicate.,44014,3
44014,"They scratch incredibly easy and they slip off your face because they're a little loose/big but aesthetically, they're gorgeous.",44014,3
44015,"I bought it for the ""stretch"", but it's too loose and stretches too much.",44015,3
44016,Over a couple washes the pictures started fading so I wasn't too happy with that but it was good while it lasted.,44016,3
44016,It was a gift for my boyfriend so he didn't really know how to wash it either.,44016,3
44016,A tip for that would be wash inside out!,44016,3
44017,Light weight pajama material.,44017,3
44017,"Love that they have pockets, hate that after the first wash the logo started fading.",44017,3
44017,Good pants for around the house.,44017,3
44017,Although I wouldn't pay this price for these again.,44017,3
44018,"Hood too small, or my head is too big.",44018,3
44019,"Very pretty, but much too big for the wrist of a young girl.",44019,3
44019,Slipped off too easily.,44019,3
44020,"I use it for water aerobics and its life span is short, 2 to 3 months, needs a bit more of polyester to increase its life.",44020,3
44020,Have tried other brands and there appears to be a fine line between durability and comfortabity (fit) based on amount of polyester.,44020,3
44022,"These are very cute but because they ran so small and they were out of the next largest size, my grandson will not get as much wear out of them as I would've liked.",44022,3
44022,Fortunately he has a younger brother ..........,44022,3
44024,Fabric is a rather rough synthetic and too heavy for a sleeveless shirt that you would ideally wear in summer.,44024,3
44024,"Also, this is the kind of synthetic fabric that turns your sweat, which it will absorb because the underarm cut is HIGH, into something much worse smelling than your sweat.",44024,3
